iter	Passed	Remaining
1396	9955	4197
1397	9962	4190
1398	9970	4183
1399	9978	4176
1400	9985	4169
1401	9999	4165
1402	10007	4158
1403	10015	4151
1404	10023	4144
1405	10031	4138
1406	10039	4131
1407	10046	4124
1408	10054	4117
1409	10062	4110
1410	10069	4103
1411	10077	4096
1412	10085	4089
1413	10092	4082
1414	10101	4076
1415	10110	4069
1416	10118	4063
1417	10125	4055
1418	10133	4049
1419	10141	4042
1420	10149	4035
1421	10158	4029
1422	10166	4022
1423	10173	4015
1424	10180	4007
1425	10187	4000
1426	10195	3993
1427	10202	3986
1428	10209	3979
1429	10217	3972
1430	10225	3965
1431	10232	3958
1432	10238	3951
1433	10245	3943
1434	10253	3936
1435	10259	3929
1436	10267	3922
1437	10274	3915
1438	10282	3908
1439	10289	3901
1440	10295	3893
1441	10302	3886
1442	10309	3879
1443	10317	3872
1444	10325	3865
1445	10333	3858
1446	10339	3851
1447	10348	3844
1448	10355	3837
1449	10362	3830
1450	10369	3823
1451	10376	3816
1452	10383	3809
1453	10390	3801
1454	10397	3794
1455	10405	3787
1456	10412	3780
1457	10419	3773
1458	10425	3765
1459	10431	3758
1460	10437	3750
1461	10444	3743
1462	10450	3735
1463	10456	3728
1464	10464	3721
1465	10470	3713
1466	10476	3706
1467	10483	3699
1468	10488	3691
1469	10495	3684
1470	10504	3677
1471	10510	3670
1472	10517	3662
1473	10523	3655
1474	10529	3648
1475	10536	3640
1476	10540	3632
1477	10546	3625
1478	10554	3618
1479	10563	3611
1480	10569	3603
1481	10575	3596
1482	10581	3589
1483	10587	3581
1484	10595	3574
1485	10602	3567
1486	10609	3560
1487	10615	3552
1488	10621	3545
1489	10628	3538
1490	10635	3530
1491	10642	3523
1492	10648	3516
1493	10655	3509
1494	10662	3501
1495	10669	3494
1496	10675	3487
1497	10681	3479
1498	10687	3472
1499	10694	3465
1500	10699	3457
1501	10705	3449
1502	10712	3442
1503	10718	3435
1504	10727	3428
1505	10734	3421
1506	10740	3413
1507	10748	3406
1508	10755	3399
1509	10765	3393
1510	10772	3386
1511	10778	3379
1512	10786	3372
1513	10795	3365
1514	10803	3358
1515	10811	3351
1516	10817	3344
1517	10824	3337
1518	10831	3330
1519	10838	3322
1520	10844	3315
1521	10851	3308
1522	10858	3301
1523	10866	3294
1524	10873	3286
1525	10879	3279
1526	10885	3272
1527	10892	3264
1528	10900	3257
1529	10906	3250
1530	10914	3243
1531	10921	3236
1532	10928	3229
1533	10935	3222
1534	10942	3215
1535	10949	3207
1536	10956	3200
1537	10963	3193
1538	10970	3186
1539	10977	3179
1540	10984	3172
1541	10992	3165
1542	10999	3158
1543	11006	3150
1544	11013	3143
1545	11020	3136
1546	11027	3129
1547	11034	3122
1548	11041	3114
1549	11047	3107
1550	11054	3100
1551	11061	3093
1552	11067	3085
1553	11074	3078
1554	11080	3071
1555	11088	3064
1556	11095	3057
1557	11103	3050
1558	11111	3043
1559	11117	3035
1560	11124	3028
1561	11130	3021
1562	11137	3014
